cost_mode,k_period,smooth,d_period,min_separation,max_separation,total_periods,positive_periods,positive_ratio,total_return_sum,avg_quarter_return,median_quarter_return,min_quarter_return,total_trades_sum,min_trades_per_period,avg_trades_per_period,avg_profit_factor,median_profit_factor,min_profit_factor,max_quarter_drawdown_worst,long_trades_total,short_trades_total,is_current_baseline,batch1_score
no-cost,9,1,3,3,15,8,8,1.0,25.255218000000056,3.156902250000007,3.0428520000000514,1.3920919999999892,237,19,29.625,2.3171482188059582,2.337892015043497,1.492009613345583,-2.167376762654169,111,126,False,0.5544079791608506
no-cost,9,1,3,3,20,8,8,1.0,28.420032000000027,3.5525040000000034,3.854027999999987,1.464627999999979,266,22,33.25,2.3473616797571433,2.093738920139267,1.4614702110699003,-2.1644116318185977,126,140,False,0.5715799542715603
no-cost,9,1,3,3,30,8,8,1.0,28.413428000000017,3.551678500000002,3.4648279999999976,1.7565499999999679,288,28,36.0,2.2442676438286417,1.885405026373225,1.5385740155611778,-2.1644116318185977,139,149,False,0.5694846396547864
no-cost,9,1,3,5,20,8,7,0.875,25.514491999999976,3.189311499999997,3.7656109999999687,-0.21722000000001795,249,18,31.125,2.3412457176202466,2.09621801859296,0.9239955353237711,-2.1607581123386668,120,129,False,0.5038976617322698
no-cost,9,1,3,5,30,8,8,1.0,25.507887999999966,3.1884859999999957,3.376410999999979,0.4743599999999626,271,24,33.875,2.253715582924552,1.8829257499945293,1.1286326744781874,-2.1607581123386668,133,138,False,0.5426818755636617
no-cost,9,1,3,8,40,8,8,1.0,21.449134000000146,2.6811417500000183,2.4530810000000125,1.0317460000000223,202,20,25.25,2.9754031974883755,2.0239024020454837,1.3578862986534543,-1.6877092848652808,104,98,False,0.5750813178962311
no-cost,14,1,3,3,15,8,8,1.0,25.672558000000212,3.2090697500000265,2.9674100000000148,2.4377920000000497,206,18,25.75,2.642516360683634,2.459585474701118,2.010915333800554,-1.6268240631337034,104,102,False,0.5907004035705361
no-cost,14,1,3,3,20,8,8,1.0,30.115480000000172,3.7644350000000215,3.330612000000066,2.496449999999939,235,20,29.375,2.7525949941548884,2.3026227689515553,1.9815629742033434,-1.6296767164871546,120,115,True,0.621676935093443
no-cost,14,1,3,3,30,8,8,1.0,30.43345800000015,3.804182250000019,3.500714000000049,2.1168960000000236,250,25,31.25,2.6596360823634146,2.1691645810663047,1.6930939307919741,-2.2745072086636555,128,122,False,0.603458492806532
no-cost,14,1,3,5,20,8,8,1.0,27.307168000000125,3.4133960000000156,2.863263000000016,1.4925620000000528,221,17,27.625,2.7982983815024323,2.102397180462666,1.6310617463512218,-1.6296767164871546,113,108,False,0.5844108853467351
